"TIME","GEO","CITIZEN","AGE","SEX","Value"
"2002","Croatia","Georgia","Total","Total",":"
"2002","Croatia","Iraq","Total","Total",":"
"2002","Croatia","Syria","Total","Total",":"
"2002","Italy","Reporting country","Total","Total",":"
"2002","Italy","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","Italy","Turkey","Total","Total",":"
"2002","Italy","Serbia","Total","Total",":"
"2002","Italy","Russia","Total","Total",":"
"2002","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Italy","Eritrea","Total","Total",":"
"2002","Italy","Somalia","Total","Total",":"
"2002","Italy","Congo","Total","Total",":"
"2002","Italy","Guinea","Total","Total",":"
"2002","Italy","Nigeria","Total","Total",":"
"2002","Italy","China (including Hong Kong)","Total","Total",":"
"2002","Italy","Afghanistan","Total","Total",":"
"2002","Italy","Bangladesh","Total","Total",":"
"2002","Italy","Iran","Total","Total",":"
"2002","Italy","Pakistan","Total","Total",":"
"2002","Italy","Armenia","Total","Total",":"
"2002","Italy","Georgia","Total","Total",":"
"2002","Italy","Iraq","Total","Total",":"
"2002","Italy","Syria","Total","Total",":"
"2002","Cyprus","Reporting country","Total","Total","639,400"
"2002","Cyprus","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","Cyprus","Turkey","Total","Total",":"
"2002","Cyprus","Serbia","Total","Total",":"
"2002","Cyprus","Russia","Total","Total",":"
"2002","Cyprus","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Cyprus","Eritrea","Total","Total",":"
"2002","Cyprus","Somalia","Total","Total",":"
"2002","Cyprus","Congo","Total","Total",":"
"2002","Cyprus","Guinea","Total","Total",":"
"2002","Cyprus","Nigeria","Total","Total",":"
"2002","Cyprus","China (including Hong Kong)","Total","Total",":"
"2002","Cyprus","Afghanistan","Total","Total",":"
"2002","Cyprus","Bangladesh","Total","Total",":"
"2002","Cyprus","Iran","Total","Total",":"
"2002","Cyprus","Pakistan","Total","Total",":"
"2002","Cyprus","Armenia","Total","Total",":"
"2002","Cyprus","Georgia","Total","Total",":"
"2002","Cyprus","Iraq","Total","Total",":"
"2002","Cyprus","Syria","Total","Total",":"
"2002","Latvia","Reporting country","Total","Total","1,788,967"
"2002","Latvia","Former Yugoslav Republic of Macedonia, the","Total","Total","1"
"2002","Latvia","Turkey","Total","Total","16"
"2002","Latvia","Serbia","Total","Total",":"
"2002","Latvia","Russia","Total","Total","22,333"
"2002","Latvia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Latvia","Eritrea","Total","Total","0"
"2002","Latvia","Somalia","Total","Total","0"
"2002","Latvia","Congo","Total","Total","2"
"2002","Latvia","Guinea","Total","Total","0"
"2002","Latvia","Nigeria","Total","Total","5"
"2002","Latvia","China (including Hong Kong)","Total","Total","58"
"2002","Latvia","Afghanistan","Total","Total","24"
"2002","Latvia","Bangladesh","Total","Total","8"
"2002","Latvia","Iran","Total","Total","4"
"2002","Latvia","Pakistan","Total","Total","49"
"2002","Latvia","Armenia","Total","Total","221"
"2002","Latvia","Georgia","Total","Total","96"
"2002","Latvia","Iraq","Total","Total","1"
"2002","Latvia","Syria","Total","Total","21"
"2002","Lithuania","Reporting country","Total","Total","3,419,169"
"2002","Lithuania","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","Lithuania","Turkey","Total","Total",":"
"2002","Lithuania","Serbia","Total","Total",":"
"2002","Lithuania","Russia","Total","Total",":"
"2002","Lithuania","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Lithuania","Eritrea","Total","Total",":"
"2002","Lithuania","Somalia","Total","Total",":"
"2002","Lithuania","Congo","Total","Total",":"
"2002","Lithuania","Guinea","Total","Total",":"
"2002","Lithuania","Nigeria","Total","Total",":"
"2002","Lithuania","China (including Hong Kong)","Total","Total",":"
"2002","Lithuania","Afghanistan","Total","Total",":"
"2002","Lithuania","Bangladesh","Total","Total",":"
"2002","Lithuania","Iran","Total","Total",":"
"2002","Lithuania","Pakistan","Total","Total",":"
"2002","Lithuania","Armenia","Total","Total",":"
"2002","Lithuania","Georgia","Total","Total",":"
